Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,086088,1957,10,87.6,Y
IDCJAC0001,086088,1957,11,89.1,Y
IDCJAC0001,086088,1957,12,36.9,Y
IDCJAC0001,086088,1958,01,19.2,Y
IDCJAC0001,086088,1958,02,68.4,Y
IDCJAC0001,086088,1958,03,24.0,Y
IDCJAC0001,086088,1958,04,20.5,Y
IDCJAC0001,086088,1958,05,114.1,Y
IDCJAC0001,086088,1958,06,34.9,Y
IDCJAC0001,086088,1958,07,76.7,Y
IDCJAC0001,086088,1958,08,123.6,Y
IDCJAC0001,086088,1958,09,102.0,Y
IDCJAC0001,086088,1958,10,136.1,Y
IDCJAC0001,086088,1958,11,97.6,Y
IDCJAC0001,086088,1958,12,46.9,Y
IDCJAC0001,086088,1959,01,12.0,Y
IDCJAC0001,086088,1959,02,30.1,Y
IDCJAC0001,086088,1959,03,85.1,Y
IDCJAC0001,086088,1959,04,24.1,Y
IDCJAC0001,086088,1959,05,67.2,Y
IDCJAC0001,086088,1959,06,88.5,Y
IDCJAC0001,086088,1959,07,77.0,Y
IDCJAC0001,086088,1959,08,76.7,Y
IDCJAC0001,086088,1959,09,155.8,Y
IDCJAC0001,086088,1959,10,96.9,Y
IDCJAC0001,086088,1959,11,36.3,Y
IDCJAC0001,086088,1959,12,100.4,Y
IDCJAC0001,086088,1960,01,51.3,Y
IDCJAC0001,086088,1960,02,64.3,Y
IDCJAC0001,086088,1960,03,13.0,Y
IDCJAC0001,086088,1960,04,171.7,Y
IDCJAC0001,086088,1960,05,166.8,Y
IDCJAC0001,086088,1960,06,43.0,Y
IDCJAC0001,086088,1960,07,102.7,Y
IDCJAC0001,086088,1960,08,101.1,Y
IDCJAC0001,086088,1960,09,134.5,Y
IDCJAC0001,086088,1960,10,57.0,Y
IDCJAC0001,086088,1960,11,127.9,Y
IDCJAC0001,086088,1960,12,18.4,Y
IDCJAC0001,086088,1961,01,21.8,Y
IDCJAC0001,086088,1961,02,30.3,Y
